,,,Date,Close,Stock Symbol,TSLA
1/4/2021,243.26,,1/4/2021 16:00:00,243.26,Start Date,1/1/2021
1/5/2021,245.04,,1/5/2021 16:00:00,245.04,End Date,1/31/2021
1/6/2021,251.99,,1/6/2021 16:00:00,251.99,,
1/7/2021,272.01,,1/7/2021 16:00:00,272.01,,
1/8/2021,293.34,,1/8/2021 16:00:00,293.34,,
1/11/2021,270.4,,1/11/2021 16:00:00,270.4,,
1/12/2021,283.15,,1/12/2021 16:00:00,283.15,,
1/13/2021,284.8,,1/13/2021 16:00:00,284.8,,
1/14/2021,281.67,,1/14/2021 16:00:00,281.67,,
1/15/2021,275.39,,1/15/2021 16:00:00,275.39,,
1/19/2021,281.52,,1/19/2021 16:00:00,281.52,,
1/20/2021,283.48,,1/20/2021 16:00:00,283.48,,
1/21/2021,281.66,,1/21/2021 16:00:00,281.66,,
1/22/2021,282.21,,1/22/2021 16:00:00,282.21,,
1/25/2021,293.6,,1/25/2021 16:00:00,293.6,,
1/26/2021,294.36,,1/26/2021 16:00:00,294.36,,
1/27/2021,288.05,,1/27/2021 16:00:00,288.05,,
1/28/2021,278.48,,1/28/2021 16:00:00,278.48,,
1/29/2021,264.51,,1/29/2021 16:00:00,264.51,,